frame_idx,ts_ms,pose_detected,left_hip_x,left_hip_y,left_ankle_x,left_ankle_y,left_conf,right_hip_x,right_hip_y,right_ankle_x,right_ankle_y,right_conf,raw_readings_n,filter_readings_n,extrap_sides,skip_seglen,skip_flip,antisnap_sides,nms_fired,nms_removed_side,nms_ankle_dist_px,ankles_same_pos,identity_swap
233,4526,1,451,829,390,1016,0.2277,439,833,310,1004,0.2106,2,2,right,,,,1,right,80.9,0,0
234,4546,1,460,768,413,951,0.2371,445,783,259,921,0.2112,2,2,,,,,0,,0.0,0,0
235,4565,1,438,755,271,930,0.2694,445,772,369,958,0.1999,2,2,,,,,0,,0.0,0,1
236,4585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
237,4604,1,483,745,707,854,0.3194,463,757,301,947,0.2024,2,2,left,,,left,0,,0.0,0,1
238,4624,1,-1,-1,-1,-1,-1,474,762,386,929,0.2116,1,2,left,left,,,0,,0.0,0,0
239,4643,1,478,744,643,847,0.3293,459,742,257,855,0.1978,2,2,left,,,left,0,,0.0,0,1
240,4662,1,440,751,281,893,0.3033,483,758,629,864,0.1803,2,2,right,,,right,0,,0.0,0,1
241,4682,1,440,754,284,891,0.2775,466,758,294,844,0.163,2,2,right,,,,1,right,48.1,0,0
242,4701,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
243,4721,1,496,845,547,1062,0.2878,464,842,434,1060,0.1654,2,2,"left,right",,,"left,right",0,,0.0,0,1
244,4740,1,474,836,633,959,0.3314,466,835,362,993,0.1732,2,2,"left,right",,,"left,right",0,,0.0,0,1
245,4760,1,477,810,705,846,0.395,440,812,241,881,0.2413,2,2,left,,,left,0,,0.0,0,0
246,4779,1,462,760,683,860,0.4335,441,762,294,914,0.254,2,2,left,,,left,0,,0.0,0,0
247,4798,1,467,772,648,859,0.4508,444,775,271,866,0.2682,2,2,left,,,left,0,,0.0,0,1
248,4818,1,467,788,690,848,0.4622,432,789,230,860,0.2887,2,1,,,,left,0,,0.0,0,0
249,4837,1,470,811,499,1042,0.4965,425,792,256,911,0.3128,2,1,,,,left,0,,0.0,0,0
250,4857,1,468,822,434,1042,0.5311,411,798,205,895,0.3508,2,1,,,,left,0,,0.0,0,0
251,4876,1,435,830,224,981,0.5333,417,829,216,988,0.343,2,2,right,,,,1,right,10.6,1,0
252,4896,1,440,829,344,991,0.5533,402,814,218,941,0.3647,2,2,,,,,0,,0.0,0,0
253,4915,1,444,790,340,1000,0.5133,401,767,260,952,0.3444,2,2,,,,,0,,0.0,0,0
254,4934,1,441,792,326,1008,0.4786,396,768,247,952,0.3265,2,2,,,,,0,,0.0,0,0
255,4954,1,445,796,290,1004,0.4624,399,770,247,954,0.325,2,2,right,,,,1,right,65.9,0,0
256,4973,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
257,4993,1,500,845,543,1098,0.4901,441,836,365,986,0.3703,2,2,left,,,left,0,,0.0,0,0
258,5012,1,508,854,564,1102,0.5072,450,840,317,893,0.3554,2,2,left,,,left,0,,0.0,0,1
259,5032,1,500,854,562,1105,0.4771,451,843,384,1036,0.3274,2,2,left,,,left,0,,0.0,0,1
260,5051,1,500,854,560,1118,0.5128,450,845,377,1027,0.3547,2,2,left,,,left,0,,0.0,0,1
261,5070,1,489,848,488,1087,0.485,436,835,325,985,0.3261,2,2,left,,,left,0,,0.0,0,1
262,5090,1,485,840,440,1033,0.5254,436,828,286,898,0.3694,2,2,,,,,0,,0.0,0,1
263,5109,1,476,777,414,1035,0.4745,416,760,309,973,0.3361,2,2,,,,,0,,0.0,0,0
264,5129,1,464,800,368,1052,0.4945,421,786,305,974,0.3617,2,2,,,,,0,,0.0,0,0
265,5148,1,470,790,429,1041,0.49,423,780,308,941,0.3802,2,2,,,,,0,,0.0,0,0
266,5168,1,467,736,428,975,0.4854,423,734,315,925,0.4032,2,2,,,,,0,,0.0,0,0
267,5187,1,463,755,425,1013,0.4497,447,761,398,998,0.3682,2,2,right,,,,1,right,30.9,1,0
268,5206,1,461,765,426,1028,0.4239,448,787,408,1032,0.3446,2,2,right,,,,1,right,18.4,1,0
269,5226,1,468,829,466,1067,0.4196,447,826,411,1081,0.3658,2,2,right,,,,1,right,56.8,0,0
270,5245,1,456,843,480,1071,0.454,465,836,569,1092,0.4284,2,2,right,,,,1,right,91.4,0,0
271,5265,1,482,867,521,1125,0.4888,460,868,475,1113,0.4413,2,2,right,,,,1,right,47.5,0,0
272,5284,1,487,854,539,1113,0.4785,465,852,530,1102,0.4561,2,2,right,,,,1,right,14.2,1,0
273,5304,1,485,847,522,1106,0.475,462,844,464,1067,0.4391,2,2,right,,,,1,right,69.9,0,0
274,5323,1,487,859,521,1098,0.4645,456,857,448,1068,0.4288,2,2,right,,,,1,right,78.9,0,0
275,5342,1,487,856,517,1111,0.4466,455,855,436,1087,0.4095,2,2,right,,,,1,right,84.5,0,0
276,5362,1,487,866,525,1114,0.4116,454,864,437,1088,0.4139,2,2,left,,,,1,left,91.8,0,0
277,5381,1,487,860,552,1116,0.4369,453,856,436,1075,0.3928,2,2,,,,,0,,0.0,0,0
278,5401,1,491,855,555,1114,0.4273,446,852,420,1093,0.3912,2,2,,,,,0,,0.0,0,0
279,5420,1,491,857,561,1133,0.4427,444,858,419,1101,0.4024,2,2,,,,,0,,0.0,0,0
280,5440,1,491,859,562,1135,0.444,440,863,402,1084,0.4104,2,2,,,,,0,,0.0,0,0
281,5459,1,478,860,567,1128,0.4093,450,859,403,1081,0.4411,2,2,,,,,0,,0.0,0,0
282,5478,1,492,858,585,1128,0.3997,456,860,384,1106,0.4529,2,2,,,,,0,,0.0,0,0
283,5498,1,457,856,485,1089,0.4292,461,858,510,1101,0.4716,2,2,left,,,,1,left,27.7,1,1
284,5517,1,428,824,275,938,0.4434,469,838,665,910,0.4957,2,2,"left,right",,,"left,right",0,,0.0,0,1
285,5537,1,447,818,376,1011,0.4249,458,817,413,976,0.4749,2,2,left,,,,1,left,50.9,0,1
286,5556,1,448,815,429,1035,0.4274,436,799,350,1000,0.4782,2,2,left,,,,1,left,86.4,0,0
287,5576,1,449,756,677,850,0.4507,438,767,229,918,0.5051,2,2,left,,,left,0,,0.0,0,0
288,5595,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
289,5614,1,519,799,713,830,0.4807,483,809,501,1001,0.5408,2,2,"left,right",,,"left,right",0,,0.0,0,0
290,5634,1,520,790,531,1015,0.4363,483,786,481,1004,0.4924,2,2,right,,,right,0,,0.0,0,0
291,5653,1,511,790,518,1044,0.4164,458,789,447,1032,0.4533,2,2,right,,,right,0,,0.0,0,0
292,5673,1,500,795,661,872,0.4713,451,799,301,921,0.4985,2,2,left,,,left,0,,0.0,0,0
293,5692,1,498,826,509,1055,0.4755,439,815,375,999,0.5232,2,2,,,,,0,,0.0,0,0
294,5712,1,489,823,483,1072,0.4779,423,815,377,1039,0.5131,2,2,,,,,0,,0.0,0,0
295,5731,1,485,850,479,1071,0.4638,418,837,370,1033,0.4876,2,2,,,,,0,,0.0,0,0
296,5750,1,485,794,579,998,0.5061,422,782,251,875,0.5072,2,2,right,,,right,0,,0.0,0,0
297,5770,1,475,796,418,1043,0.5472,427,788,225,908,0.5203,2,2,"left,right",,,"left,right",0,,0.0,0,0
298,5789,1,465,822,352,1052,0.539,414,800,197,907,0.4772,2,2,"left,right",,,"left,right",0,,0.0,0,1
299,5809,1,464,825,356,1053,0.5715,423,804,225,913,0.4797,2,2,"left,right",,,"left,right",0,,0.0,0,1
300,5828,1,459,813,405,1053,0.5792,415,787,217,926,0.4938,2,2,"left,right",,,"left,right",0,,0.0,0,0
301,5847,1,453,803,324,1025,0.561,414,779,229,937,0.4956,2,2,"left,right",,,"left,right",0,,0.0,0,1
302,5867,1,443,795,300,1014,0.5193,393,763,202,942,0.474,2,1,left,,,"left,right",0,,0.0,0,1
303,5886,1,453,797,368,1041,0.4872,400,764,398,1022,0.4836,2,1,,,,left,0,,0.0,1,1
304,5906,1,443,812,387,1069,0.4558,387,776,344,1022,0.4529,2,1,,,,left,0,,0.0,0,0
305,5925,1,433,814,393,1066,0.4181,372,780,267,1012,0.4241,2,1,,,,left,0,,0.0,0,0
306,5945,1,417,814,300,1046,0.3866,360,782,206,1007,0.3919,2,1,,,,left,0,,0.0,0,0
307,5964,1,426,828,358,1086,0.3547,378,795,249,1053,0.3696,2,1,,,,left,0,,0.0,0,0
308,5983,1,429,813,336,1060,0.3262,388,793,258,1032,0.3356,2,1,,,,left,0,,0.0,0,0
309,6003,1,436,814,355,1073,0.334,391,804,315,1052,0.3192,2,1,,,,left,0,,0.0,1,0
310,6022,1,439,811,378,1081,0.3431,406,806,362,1059,0.3006,2,1,,,,left,0,,0.0,1,0
311,6042,1,442,815,363,1081,0.3355,421,811,374,1056,0.2744,2,1,,,,left,0,,0.0,1,1
312,6061,1,436,805,366,1069,0.3378,427,806,376,1045,0.2578,2,1,,,,left,0,,0.0,1,1
313,6081,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,right,,,,0,,0.0,0,0
314,6100,1,482,818,504,1117,0.3275,449,826,413,1091,0.2436,2,2,,,,,0,,0.0,0,0
315,6119,1,481,865,509,1138,0.3162,449,869,458,1103,0.2351,2,2,right,,,,1,right,61.9,0,0
316,6139,1,484,868,509,1148,0.3104,455,869,450,1116,0.2217,2,2,right,,,,1,right,67.1,0,0
317,6158,1,491,857,540,1144,0.3344,447,862,479,1108,0.2577,2,2,right,,,,1,right,70.8,0,0
318,6178,1,500,857,534,1142,0.3415,452,860,471,1106,0.2655,2,2,right,,,,1,right,72.6,0,0
319,6197,1,499,861,566,1133,0.4044,455,860,467,1106,0.3354,2,2,,,,,0,,0.0,0,0
320,6217,1,496,862,554,1068,0.4513,438,857,397,1008,0.3861,2,2,,,,,0,,0.0,0,0
321,6236,1,496,850,554,1066,0.4995,431,826,317,930,0.4435,2,2,,,,,0,,0.0,0,0
322,6255,1,473,770,515,972,0.5391,422,752,312,918,0.4862,2,2,,,,,0,,0.0,0,0
323,6275,1,448,754,300,897,0.5726,414,747,285,907,0.5126,2,2,left,,,left,0,,0.0,1,0
324,6294,1,454,749,293,889,0.5247,415,737,295,883,0.4672,2,2,left,,,left,0,,0.0,1,1
325,6314,1,459,748,322,937,0.4842,420,730,278,892,0.4317,2,2,left,,,left,0,,0.0,0,0
326,6333,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
327,6353,1,488,869,501,1097,0.4801,439,859,344,1004,0.4226,2,2,,,,,0,,0.0,0,0
328,6372,1,478,879,508,1097,0.4928,457,873,379,1005,0.4124,2,2,,,,,0,,0.0,0,0
329,6391,1,473,828,469,1015,0.4972,444,822,280,860,0.3928,2,2,right,,,right,0,,0.0,0,0
330,6411,1,474,783,473,1021,0.4941,436,771,278,900,0.3783,2,2,,,,,0,,0.0,0,0
331,6430,1,478,750,456,1000,0.4662,441,734,263,840,0.3516,2,2,,,,,0,,0.0,0,0
332,6450,1,479,743,463,1025,0.5057,442,732,261,831,0.3636,2,2,,,,,0,,0.0,0,0
333,6469,1,482,764,451,1034,0.5205,445,750,259,836,0.3493,2,2,,,,,0,,0.0,0,0
334,6489,1,478,758,461,1028,0.5361,450,748,266,834,0.3365,2,2,,,,,0,,0.0,0,0
335,6508,1,478,774,352,959,0.5238,449,764,268,838,0.325,2,2,,,,,0,,0.0,0,0
336,6527,1,478,759,397,997,0.5008,455,738,270,836,0.3011,2,2,,,,,0,,0.0,0,0
337,6547,1,475,755,409,1015,0.5199,450,727,274,851,0.3137,2,2,,,,,0,,0.0,0,0
338,6566,1,470,743,387,970,0.4923,438,722,274,850,0.3028,2,2,,,,,0,,0.0,0,0
339,6586,1,468,740,354,954,0.4607,433,714,277,860,0.2888,2,2,,,,,0,,0.0,0,0
340,6605,1,469,725,382,959,0.4358,433,696,278,864,0.2937,2,2,,,,,0,,0.0,0,0
341,6625,1,465,730,310,907,0.4228,424,705,295,877,0.2812,2,2,right,,,,1,right,33.5,1,0
342,6644,1,445,715,310,909,0.4134,426,708,301,883,0.2663,2,2,right,,,,1,right,27.5,1,0
343,6663,1,448,723,323,924,0.3952,428,716,322,912,0.2429,2,2,right,,,,1,right,12.0,1,0
344,6683,1,439,728,323,920,0.3847,432,722,324,918,0.2274,2,2,right,,,,1,right,2.2,1,0
345,6702,1,445,737,341,931,0.3629,435,746,357,964,0.2079,2,2,right,,,,1,right,36.7,1,1
346,6722,1,439,739,347,939,0.3747,454,753,410,964,0.2072,2,2,right,,,,1,right,67.8,0,0
347,6741,1,442,740,357,932,0.373,452,757,395,960,0.2035,2,2,right,,,,1,right,47.2,0,1
348,6761,1,445,779,387,1020,0.3715,451,790,404,1026,0.2135,2,2,right,,,,1,right,18.0,1,1
349,6780,1,445,800,409,1035,0.3515,465,809,418,1006,0.193,2,2,right,,,,1,right,30.4,1,0
350,6799,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
351,6819,1,447,804,442,1007,0.3226,477,812,456,993,0.1664,2,2,right,,,,1,right,19.8,1,0
352,6838,1,449,797,438,1018,0.2955,473,798,441,1005,0.1505,2,2,right,,,,1,right,13.3,1,1
353,6858,1,451,812,441,944,0.3049,-1,-1,-1,-1,-1,1,2,right,right,,,0,,0.0,0,0
354,6877,1,464,821,429,1049,0.2774,475,830,411,1018,0.1235,2,2,right,,,,1,right,35.8,1,0
355,6897,1,461,806,423,1070,0.2542,458,809,405,1057,0.1133,2,2,right,,,,1,right,22.2,1,0
356,6916,1,461,803,436,1079,0.2428,449,805,403,1048,0.1036,2,2,right,,,,1,right,45.3,1,0
357,6935,1,445,804,414,1071,0.2684,455,808,439,1056,0.172,2,2,right,,,,1,right,29.2,1,1
358,6955,1,446,807,413,1081,0.2475,446,803,433,1051,0.1743,2,2,right,,,,1,right,36.1,1,0
359,6974,1,448,807,437,1073,0.2724,409,800,425,1034,0.1864,2,2,right,,,,1,right,40.8,1,0
360,6994,1,447,809,419,1054,0.2578,387,800,371,1036,0.1819,2,2,right,,,,1,right,51.3,0,0
361,7013,1,437,811,315,1043,0.2418,395,801,267,1012,0.1699,2,2,right,,,,1,right,57.1,0,0
362,7033,1,434,808,287,1036,0.2274,395,795,261,1002,0.162,2,2,right,,,,1,right,42.8,1,0
363,7052,1,423,760,450,937,0.2074,405,777,297,957,0.1463,2,2,left,,,left,0,,0.0,0,1
364,7071,1,427,745,285,938,0.2161,408,743,272,928,0.1422,2,2,right,,,,1,right,16.4,1,1
365,7091,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
366,7110,1,484,757,707,856,0.2156,451,763,239,891,0.151,2,2,left,,,left,0,,0.0,0,1
367,7130,1,475,759,706,849,0.2669,455,764,248,869,0.1752,2,2,left,,,left,0,,0.0,0,0
368,7149,1,476,760,693,853,0.2812,456,765,272,872,0.1597,2,2,left,,,left,0,,0.0,0,0
369,7169,1,483,747,705,833,0.346,456,744,268,833,0.2144,2,2,left,,,left,0,,0.0,0,0
370,7188,1,428,766,300,939,0.4087,461,772,607,878,0.2842,2,2,right,,,right,0,,0.0,0,0
371,7207,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
372,7227,1,524,819,708,877,0.4322,488,830,626,933,0.3471,2,2,"left,right",,,"left,right",0,,0.0,0,1
373,7246,1,510,806,679,875,0.3927,488,798,506,936,0.3823,2,2,"left,right",,,"left,right",0,,0.0,0,1
374,7266,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
375,7285,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
376,7305,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,left,,,,0,,0.0,0,0
377,7324,1,451,875,541,1110,0.4083,493,869,520,1104,0.4195,2,0,,,,"left,right",0,,0.0,1,1
378,7343,1,449,874,555,1119,0.3726,487,870,504,1126,0.3954,2,0,,,,"left,right",0,,0.0,0,1
379,7363,1,466,845,570,1118,0.4322,484,822,582,914,0.4543,2,0,,,,"left,right",0,,0.0,0,0
380,7382,1,464,848,566,1110,0.4867,484,830,617,953,0.508,2,0,,,,"left,right",0,,0.0,0,0
381,7402,1,472,840,580,1104,0.5217,453,830,254,966,0.549,2,1,,,,left,0,,0.0,0,0
382,7421,1,434,826,413,1047,0.5605,459,825,549,960,0.5837,2,2,right,,,right,0,,0.0,0,1
383,7441,1,437,830,433,1066,0.5745,409,822,355,982,0.5818,2,2,,,,,0,,0.0,0,0
384,7460,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
385,7479,1,482,834,526,1089,0.5682,443,835,391,1014,0.5634,2,2,,,,,0,,0.0,0,0
386,7499,1,478,773,515,1028,0.586,438,766,304,910,0.5605,2,2,,,,,0,,0.0,0,0
387,7518,1,476,749,487,1035,0.5652,444,742,327,943,0.5234,2,2,,,,,0,,0.0,0,0
388,7538,1,484,750,492,1041,0.5781,456,743,287,858,0.4985,2,2,,,,,0,,0.0,0,0
389,7557,1,484,740,483,1035,0.5569,454,736,283,892,0.4972,2,2,,,,,0,,0.0,0,0
390,7576,1,476,739,460,1024,0.5728,454,737,281,888,0.4994,2,2,,,,,0,,0.0,0,0
391,7596,1,466,743,420,1029,0.5263,435,738,304,951,0.457,2,2,,,,,0,,0.0,0,0
392,7615,1,458,753,423,1030,0.5215,419,746,299,952,0.4598,2,2,,,,,0,,0.0,0,0
393,7635,1,454,744,378,977,0.5144,435,748,300,929,0.4371,2,2,right,,,,1,right,91.6,0,0
394,7654,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
395,7674,1,478,853,539,1121,0.4968,447,863,447,1118,0.4166,2,2,"left,right",,,"left,right",0,,0.0,0,0
396,7693,1,458,886,476,1137,0.4538,455,884,467,1134,0.3941,2,2,"left,right",,,"left,right",0,,0.0,1,0
397,7712,1,461,880,490,1144,0.4225,429,882,465,1134,0.3682,2,2,"left,right",,,"left,right",0,,0.0,1,0
398,7732,1,462,876,470,1145,0.3878,467,879,481,1147,0.3643,2,2,"left,right",,,"left,right",0,,0.0,1,1
399,7751,1,497,874,566,1141,0.3856,462,877,476,1132,0.3731,2,1,left,,,"left,right",0,,0.0,0,0
400,7771,1,499,872,569,1140,0.3853,459,877,472,1118,0.3691,2,0,,,,"left,right",0,,0.0,0,0
401,7790,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
402,7810,1,478,824,459,580,0.383,480,828,493,570,0.3785,2,0,,,,"left,right",0,,0.0,1,1
403,7829,1,473,814,460,593,0.3951,474,816,474,596,0.3942,2,0,,,,"left,right",0,,0.0,1,1
404,7848,1,497,773,509,547,0.3637,468,775,490,547,0.3779,2,0,,,,"left,right",0,,0.0,1,0
405,7868,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
406,7887,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
407,7907,1,509,852,540,1117,0.4105,466,852,456,1112,0.4618,2,0,,,,"left,right",0,,0.0,0,0
408,7926,1,507,847,568,1109,0.4103,453,849,395,1044,0.4512,2,1,,,,left,0,,0.0,0,0
409,7946,1,494,847,565,1108,0.4337,444,849,376,1062,0.4539,2,1,,,,left,0,,0.0,0,0
410,7965,1,496,854,573,1107,0.4443,441,854,358,1064,0.4542,2,1,,,,left,0,,0.0,0,0
411,7984,1,471,822,305,959,0.4475,465,813,551,974,0.4736,2,2,right,,,right,0,,0.0,0,0
412,8004,1,451,764,261,918,0.4801,483,759,597,940,0.5164,2,2,right,,,right,0,,0.0,0,0
413,8023,1,460,795,358,1000,0.4679,480,792,385,1002,0.5292,2,2,left,,,,1,left,27.1,1,0
414,8043,1,450,805,349,990,0.4294,480,803,387,1013,0.4831,2,2,left,,,,1,left,44.4,1,0
415,8062,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
416,8082,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
417,8101,1,533,792,707,862,0.4573,491,805,513,963,0.4736,2,2,left,,,left,0,,0.0,0,0
418,8120,1,524,794,539,1036,0.4217,471,799,471,1032,0.4412,2,2,left,,,left,0,,0.0,0,1
419,8140,1,503,793,557,1033,0.3985,464,790,443,1015,0.4171,2,2,left,,,left,0,,0.0,0,1
420,8159,1,499,757,666,849,0.4085,449,754,231,883,0.4457,2,1,right,,,"left,right",0,,0.0,0,1
421,8179,1,486,764,480,1040,0.4061,443,767,342,988,0.4075,2,2,,,,,0,,0.0,0,1
422,8198,1,483,827,408,1079,0.4474,437,810,334,1011,0.4095,2,2,,,,,0,,0.0,0,0
423,8218,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
424,8237,1,501,815,682,884,0.4995,448,822,341,928,0.4392,2,2,left,,,left,0,,0.0,0,0
425,8256,1,501,770,694,847,0.5357,448,763,242,907,0.4904,2,2,left,,,left,0,,0.0,0,0
426,8276,1,502,722,704,831,0.5635,447,719,194,854,0.5195,2,2,left,,,left,0,,0.0,0,0
427,8295,1,494,746,476,1043,0.5556,445,756,286,968,0.4917,2,2,,,,,0,,0.0,0,0
428,8315,1,488,801,435,1075,0.5748,427,766,263,959,0.4955,2,2,,,,,0,,0.0,0,0
429,8334,1,464,803,385,1049,0.5651,423,776,245,955,0.4789,2,2,,,,,0,,0.0,0,0
430,8354,1,448,799,361,1021,0.5385,413,779,212,950,0.4587,2,2,,,,,0,,0.0,0,0
431,8373,1,459,807,382,1080,0.5291,415,780,231,1025,0.4366,2,2,,,,,0,,0.0,0,0
432,8392,1,439,808,381,1046,0.4845,417,784,253,990,0.4118,2,2,,,,,0,,0.0,0,0
433,8412,1,439,851,412,1104,0.4796,380,820,263,1047,0.4203,2,2,,,,,0,,0.0,0,0
434,8431,1,418,869,393,1132,0.4477,360,849,298,1093,0.3921,2,2,,,,,0,,0.0,0,0
435,8451,1,435,852,377,1064,0.4376,377,827,265,1087,0.3964,2,2,,,,,0,,0.0,0,0
436,8470,1,420,820,314,1046,0.3973,371,800,270,1031,0.3591,2,2,right,,,,1,right,46.5,1,0
437,8490,1,429,818,352,1073,0.3937,382,801,339,1059,0.3325,2,2,right,,,,1,right,19.1,1,1
438,8509,1,436,816,373,1069,0.3644,384,801,353,1051,0.3062,2,2,right,,,,1,right,26.9,1,0
439,8528,1,436,816,369,1061,0.3654,413,811,364,1038,0.2804,2,2,right,,,,1,right,23.5,1,0
440,8548,1,433,816,367,1052,0.3366,421,812,372,1029,0.2536,2,2,right,,,,1,right,23.5,1,0
441,8567,1,434,815,383,1063,0.308,429,815,373,1048,0.2295,2,2,right,,,,1,right,18.0,1,1
442,8587,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
443,8606,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
444,8626,1,490,830,461,673,0.2762,501,830,479,667,0.2029,2,2,"left,right",,,"left,right",0,,0.0,1,1
445,8645,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
446,8664,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
447,8684,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,left,"left,right",,,0,,0.0,0,0
448,8703,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
449,8723,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
450,8742,1,514,867,580,1062,0.3132,476,838,320,927,0.2669,2,1,,,,left,0,,0.0,0,0
451,8762,1,505,809,538,990,0.3753,465,796,302,894,0.322,2,1,,,,left,0,,0.0,0,0
452,8781,1,506,804,548,940,0.431,463,787,295,895,0.3862,2,1,,,,left,0,,0.0,0,0
453,8800,1,486,749,285,881,0.4429,454,742,276,879,0.3703,2,1,,,,left,0,,0.0,1,1
454,8820,1,471,717,279,867,0.4789,454,719,280,863,0.375,2,1,,,,left,0,,0.0,1,1
455,8839,1,466,742,405,944,0.4411,436,723,268,853,0.3487,2,2,,,,,0,,0.0,0,0
456,8859,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
457,8878,1,492,881,548,1163,0.4311,458,897,463,1156,0.3335,2,2,"left,right",,,"left,right",0,,0.0,0,0
458,8898,1,461,870,478,1143,0.4078,451,876,467,1121,0.3174,2,2,"left,right",,,"left,right",0,,0.0,1,1
459,8917,1,480,868,518,1104,0.4457,451,873,424,1069,0.3139,2,2,"left,right",,,"left,right",0,,0.0,0,0
